Graph Name,No of sources of Evidences,Controller,Average-Case Controller to Controller
ABILENE,2,8,9
ABILENE,2,8,10
ABILENE,2,8,6
ABILENE,2,9,10
ABILENE,2,9,8
ABILENE,2,9,6
ABILENE,2,10,9
ABILENE,2,10,8
ABILENE,2,10,6
ABILENE,2,6,9
ABILENE,2,6,10
ABILENE,2,6,8
ABILENE,3,7,1
ABILENE,3,7,6
ABILENE,3,7,2
ABILENE,3,1,7
ABILENE,3,1,6
ABILENE,3,1,2
ABILENE,3,2,7
ABILENE,3,2,1
ABILENE,3,2,6
ABILENE,3,6,7
ABILENE,3,6,1
ABILENE,3,6,2
ABILENE,4,7,5
ABILENE,4,7,2
ABILENE,4,2,7
ABILENE,4,2,5
ABILENE,4,5,7
ABILENE,4,5,2
ABVT,2,11,10
ABVT,2,11,1
ABVT,2,11,5
ABVT,2,1,10
ABVT,2,1,11
ABVT,2,1,5
ABVT,2,10,11
ABVT,2,10,1
ABVT,2,10,5
ABVT,2,5,10
ABVT,2,5,11
ABVT,2,5,1
ABVT,3,1,7
ABVT,3,1,21
ABVT,3,1,10
ABVT,3,21,7
ABVT,3,21,10
ABVT,3,21,1
ABVT,3,7,21
ABVT,3,7,1
ABVT,3,7,10
ABVT,3,10,7
ABVT,3,10,21
ABVT,3,10,1
ABVT,4,11,5
ABVT,4,11,1
ABVT,4,11,2
ABVT,4,11,0
ABVT,4,1,5
ABVT,4,1,11
ABVT,4,1,2
ABVT,4,1,0
ABVT,4,0,5
ABVT,4,0,11
ABVT,4,0,1
ABVT,4,0,2
ABVT,4,2,11
ABVT,4,2,1
ABVT,4,2,5
ABVT,4,2,0
ABVT,4,5,11
ABVT,4,5,1
ABVT,4,5,2
ABVT,4,5,0
AGIS,2,9,10
AGIS,2,9,3
AGIS,2,9,6
AGIS,2,9,19
AGIS,2,19,9
AGIS,2,19,10
AGIS,2,19,3
AGIS,2,19,6
AGIS,2,6,9
AGIS,2,6,10
AGIS,2,6,3
AGIS,2,6,19
AGIS,2,10,9
AGIS,2,10,3
AGIS,2,10,6
AGIS,2,10,19
AGIS,2,3,9
AGIS,2,3,10
AGIS,2,3,6
AGIS,2,3,19
AGIS,3,5,3
AGIS,3,5,14
AGIS,3,5,7
AGIS,3,5,9
AGIS,3,5,2
AGIS,3,7,3
AGIS,3,7,14
AGIS,3,7,9
AGIS,3,7,2
AGIS,3,7,5
AGIS,3,2,3
AGIS,3,2,14
AGIS,3,2,7
AGIS,3,2,9
AGIS,3,2,5
AGIS,3,9,3
AGIS,3,9,14
AGIS,3,9,7
AGIS,3,9,2
AGIS,3,9,5
AGIS,3,3,14
AGIS,3,3,7
AGIS,3,3,9
AGIS,3,3,2
AGIS,3,3,5
AGIS,3,14,3
AGIS,3,14,7
AGIS,3,14,9
AGIS,3,14,2
AGIS,3,14,5
AGIS,4,9,3
AGIS,4,9,6
AGIS,4,9,2
AGIS,4,9,19
AGIS,4,3,9
AGIS,4,3,6
AGIS,4,3,2
AGIS,4,3,19
AGIS,4,19,9
AGIS,4,19,3
AGIS,4,19,6
AGIS,4,19,2
AGIS,4,6,9
AGIS,4,6,3
AGIS,4,6,2
AGIS,4,6,19
AGIS,4,2,9
AGIS,4,2,3
AGIS,4,2,6
AGIS,4,2,19
ARN.GRAPHML,2,22,8
ARN.GRAPHML,2,22,24
ARN.GRAPHML,2,8,24
ARN.GRAPHML,2,8,22
ARN.GRAPHML,2,24,8
ARN.GRAPHML,2,24,22
ARN.GRAPHML,3,8,4
ARN.GRAPHML,3,4,8
ARN.GRAPHML,4,7,18
ARN.GRAPHML,4,7,29
ARN.GRAPHML,4,29,7
ARN.GRAPHML,4,29,18
ARN.GRAPHML,4,18,7
ARN.GRAPHML,4,18,29
BELLCANADA,2,33,27
BELLCANADA,2,33,8
BELLCANADA,2,33,21
BELLCANADA,2,33,14
BELLCANADA,2,33,45
BELLCANADA,2,33,31
BELLCANADA,2,33,2
BELLCANADA,2,33,29
BELLCANADA,2,33,16
BELLCANADA,2,33,4
BELLCANADA,2,2,27
BELLCANADA,2,2,8
BELLCANADA,2,2,21
BELLCANADA,2,2,33
BELLCANADA,2,2,14
BELLCANADA,2,2,45
BELLCANADA,2,2,31
BELLCANADA,2,2,29
BELLCANADA,2,2,16
BELLCANADA,2,2,4
BELLCANADA,2,4,27
BELLCANADA,2,4,8
BELLCANADA,2,4,21
BELLCANADA,2,4,33
BELLCANADA,2,4,14
BELLCANADA,2,4,45
BELLCANADA,2,4,31
BELLCANADA,2,4,2
BELLCANADA,2,4,29
BELLCANADA,2,4,16
BELLCANADA,2,27,8
BELLCANADA,2,27,21
BELLCANADA,2,27,33
BELLCANADA,2,27,14
BELLCANADA,2,27,45
BELLCANADA,2,27,31
BELLCANADA,2,27,2
BELLCANADA,2,27,29
BELLCANADA,2,27,16
BELLCANADA,2,27,4
BELLCANADA,2,16,27
BELLCANADA,2,16,8
BELLCANADA,2,16,21
BELLCANADA,2,16,33
BELLCANADA,2,16,14
BELLCANADA,2,16,45
BELLCANADA,2,16,31
BELLCANADA,2,16,2
BELLCANADA,2,16,29
BELLCANADA,2,16,4
BELLCANADA,2,31,27
BELLCANADA,2,31,8
BELLCANADA,2,31,21
BELLCANADA,2,31,33
BELLCANADA,2,31,14
BELLCANADA,2,31,45
BELLCANADA,2,31,2
BELLCANADA,2,31,29
BELLCANADA,2,31,16
BELLCANADA,2,31,4
BELLCANADA,2,8,27
BELLCANADA,2,8,21
BELLCANADA,2,8,33
BELLCANADA,2,8,14
BELLCANADA,2,8,45
BELLCANADA,2,8,31
BELLCANADA,2,8,2
BELLCANADA,2,8,29
BELLCANADA,2,8,16
BELLCANADA,2,8,4
BELLCANADA,2,14,27
BELLCANADA,2,14,8
BELLCANADA,2,14,21
BELLCANADA,2,14,33
BELLCANADA,2,14,45
