Graph Name,No of sources of Evidences,Controller,Average-Case Controller to Switch
ABILENE,2,8,0.2857142857142857
ABILENE,2,9,0.42857142857142855
ABILENE,2,10,0.14285714285714285
ABILENE,2,6,0.2857142857142857
ABILENE,3,7,0.5714285714285714
ABILENE,3,1,0.14285714285714285
ABILENE,3,2,0.14285714285714285
ABILENE,3,6,0.2857142857142857
ABILENE,4,7,0.875
ABILENE,4,2,0.25
ABILENE,4,5,0.125
ABVT,2,11,38.57115789473684
ABVT,2,1,5.419842105263157
ABVT,2,10,2.8623684210526315
ABVT,2,5,2.6436842105263154
ABVT,3,1,12.319105263157894
ABVT,3,21,11.471736842105264
ABVT,3,7,0.024210526315789474
ABVT,3,10,2.0813157894736842
ABVT,4,11,51.51011111111111
ABVT,4,1,5.5985
ABVT,4,0,0.025555555555555557
ABVT,4,2,2.1736666666666666
ABVT,4,5,0.15366666666666667
AGIS,2,9,0.3
AGIS,2,19,0.4
AGIS,2,6,0.1
AGIS,2,10,0.15
AGIS,2,3,0.25
AGIS,3,5,0.2631578947368421
AGIS,3,7,0.2631578947368421
AGIS,3,2,0.15789473684210525
AGIS,3,9,0.42105263157894735
AGIS,3,3,0.21052631578947367
AGIS,3,14,0.15789473684210525
AGIS,4,9,0.55
AGIS,4,3,0.2
AGIS,4,19,0.4
AGIS,4,6,0.1
AGIS,4,2,0.05
ARN.GRAPHML,2,22,0.5185185185185185
ARN.GRAPHML,2,8,0.3333333333333333
ARN.GRAPHML,2,24,0.2222222222222222
ARN.GRAPHML,3,8,1.7142857142857142
ARN.GRAPHML,3,4,0.10714285714285714
ARN.GRAPHML,4,3,0.6538461538461539
ARN.GRAPHML,4,7,0.07692307692307693
ARN.GRAPHML,4,29,0.4230769230769231
ARN.GRAPHML,4,18,0.6538461538461539
BELLCANADA,2,33,0.08108108108108109
BELLCANADA,2,2,0.1891891891891892
BELLCANADA,2,4,0.05405405405405406
BELLCANADA,2,27,0.05405405405405406
BELLCANADA,2,16,0.32432432432432434
BELLCANADA,2,31,0.21621621621621623
BELLCANADA,2,8,0.02702702702702703
BELLCANADA,2,14,0.05405405405405406
BELLCANADA,2,21,0.1891891891891892
BELLCANADA,2,29,0.13513513513513514
BELLCANADA,2,45,0.05405405405405406
BELLCANADA,3,1,0.07692307692307693
BELLCANADA,3,2,0.2564102564102564
BELLCANADA,3,8,0.05128205128205128
BELLCANADA,3,12,0.2564102564102564
BELLCANADA,3,16,0.3076923076923077
BELLCANADA,3,33,0.20512820512820512
BELLCANADA,3,27,0.10256410256410256
BELLCANADA,3,21,0.1794871794871795
BELLCANADA,3,13,0.1282051282051282
BELLCANADA,4,2,0.3157894736842105
BELLCANADA,4,1,0.02631578947368421
BELLCANADA,4,8,0.05263157894736842
BELLCANADA,4,12,0.2631578947368421
BELLCANADA,4,33,0.21052631578947367
BELLCANADA,4,16,0.05263157894736842
BELLCANADA,4,21,0.18421052631578946
BELLCANADA,4,27,0.10526315789473684
BELLCANADA,4,13,0.13157894736842105
BELLCANADA,4,17,0.15789473684210525
BELLSOUTH.GRAPHML,2,35,1.3541666666666667
BELLSOUTH.GRAPHML,2,31,0.14583333333333334
BELLSOUTH.GRAPHML,2,49,0.20833333333333334
BELLSOUTH.GRAPHML,3,5,0.15555555555555556
BELLSOUTH.GRAPHML,3,31,1.1777777777777778
BELLSOUTH.GRAPHML,3,15,0.08888888888888889
BELLSOUTH.GRAPHML,3,1,0.022222222222222223
BELLSOUTH.GRAPHML,3,23,0.1111111111111111
BELLSOUTH.GRAPHML,3,45,0.022222222222222223
BELLSOUTH.GRAPHML,4,46,0.3902439024390244
BELLSOUTH.GRAPHML,4,50,0.04878048780487805
BELLSOUTH.GRAPHML,4,33,0.024390243902439025
BELLSOUTH.GRAPHML,4,42,0.024390243902439025
BELLSOUTH.GRAPHML,4,28,0.12195121951219512
BELLSOUTH.GRAPHML,4,48,0.1951219512195122
BELLSOUTH.GRAPHML,4,21,0.07317073170731707
BELLSOUTH.GRAPHML,4,26,0.0975609756097561
BELLSOUTH.GRAPHML,4,49,0.07317073170731707
BELLSOUTH.GRAPHML,4,31,0.2926829268292683
BICS.GRAPHML,2,19,0.5384615384615384
BICS.GRAPHML,2,14,0.07692307692307693
BICS.GRAPHML,2,13,0.19230769230769232
BICS.GRAPHML,2,22,0.15384615384615385
BICS.GRAPHML,2,15,0.038461538461538464
BICS.GRAPHML,2,21,0.07692307692307693
BICS.GRAPHML,2,1,0.6538461538461539
BICS.GRAPHML,3,13,0.38461538461538464
BICS.GRAPHML,3,12,0.07692307692307693
BICS.GRAPHML,3,24,0.07692307692307693
BICS.GRAPHML,3,20,0.23076923076923078
BICS.GRAPHML,3,5,0.38461538461538464
BICS.GRAPHML,3,16,0.07692307692307693
BICS.GRAPHML,3,28,0.07692307692307693
BICS.GRAPHML,4,14,0.3333333333333333
BICS.GRAPHML,4,13,0.08333333333333333
BICS.GRAPHML,4,2,0.08333333333333333
BICS.GRAPHML,4,19,0.125
BICS.GRAPHML,4,15,0.08333333333333333
BICS.GRAPHML,4,22,0.125
BICS.GRAPHML,4,5,0.25
BICS.GRAPHML,4,16,0.041666666666666664
BICS.GRAPHML,4,8,0.08333333333333333
CERNET.GRAPHML,2,21,0.5135135135135135
CERNET.GRAPHML,2,24,0.5135135135135135
CERNET.GRAPHML,2,28,0.1891891891891892
CERNET.GRAPHML,2,37,0.10810810810810811
CERNET.GRAPHML,3,9,0.3333333333333333
CERNET.GRAPHML,3,20,0.18181818181818182
CERNET.GRAPHML,3,26,0.15151515151515152
CERNET.GRAPHML,3,38,0.18181818181818182
CERNET.GRAPHML,3,14,0.15151515151515152
CERNET.GRAPHML,3,12,0.06060606060606061
CERNET.GRAPHML,3,39,0.48484848484848486
CERNET.GRAPHML,3,1,0.06060606060606061
CERNET.GRAPHML,4,38,0.1875
CERNET.GRAPHML,4,39,0.6875
CERNET.GRAPHML,4,16,0.15625
CERNET.GRAPHML,4,30,0.03125
CERNET.GRAPHML,4,26,0.03125
CERNET.GRAPHML,4,27,0.0625
CERNET.GRAPHML,4,20,0.03125
CERNET.GRAPHML,4,32,0.09375
CERNET.GRAPHML,4,25,0.28125
CESNET200706.GRAPHML,2,40,0.725
CESNET200706.GRAPHML,2,7,0.525
CESNET200706.GRAPHML,2,43,0.05
CESNET200706.GRAPHML,2,0,0.025
CESNET200706.GRAPHML,3,28,0.17142857142857143
CESNET200706.GRAPHML,3,15,0.02857142857142857
CESNET200706.GRAPHML,3,18,0.14285714285714285
CESNET200706.GRAPHML,3,14,0.08571428571428572
CESNET200706.GRAPHML,3,20,0.02857142857142857
CESNET200706.GRAPHML,3,22,0.02857142857142857
CESNET200706.GRAPHML,3,36,0.02857142857142857
CESNET200706.GRAPHML,3,43,0.7142857142857143
CESNET200706.GRAPHML,3,7,0.22857142857142856
CESNET200706.GRAPHML,4,3,0.9487179487179487
CESNET200706.GRAPHML,4,6,0.717948717948718
CESNET200706.GRAPHML,4,36,0.02564102564102564
CESNET200706.GRAPHML,4,20,0.02564102564102564
CESNET200706.GRAPHML,4,43,0.05128205128205128
CHINANET.GRAPHML,2,39,0.5142857142857142
CHINANET.GRAPHML,2,38,0.05714285714285714
CHINANET.GRAPHML,2,8,0.2
CHINANET.GRAPHML,2,28,0.2
CHINANET.GRAPHML,2,23,0.02857142857142857
CHINANET.GRAPHML,2,27,0.02857142857142857
CHINANET.GRAPHML,2,25,0.02857142857142857
CHINANET.GRAPHML,3,5,0.09090909090909091
CHINANET.GRAPHML,3,30,0.030303030303030304
CHINANET.GRAPHML,3,20,0.030303030303030304
CHINANET.GRAPHML,3,41,0.3939393939393939
CHINANET.GRAPHML,3,2,0.030303030303030304
CHINANET.GRAPHML,3,3,0.030303030303030304
CHINANET.GRAPHML,3,28,0.24242424242424243
CHINANET.GRAPHML,3,8,0.2727272727272727
CHINANET.GRAPHML,3,18,0.12121212121212122
CHINANET.GRAPHML,4,8,0.8857142857142857
CHINANET.GRAPHML,4,18,0.14285714285714285
CHINANET.GRAPHML,4,25,0.05714285714285714
CHINANET.GRAPHML,4,16,0.14285714285714285
CHINANET.GRAPHML,4,38,0.05714285714285714
CHINANET.GRAPHML,4,23,0.02857142857142857
CHINANET.GRAPHML,4,33,0.02857142857142857
COGENTCO.GRAPHML,2,183,1.2010582010582012
COGENTCO.GRAPHML,2,165,0.12698412698412698
COGENTCO.GRAPHML,2,158,0.021164021164021163
COGENTCO.GRAPHML,2,154,1.1111111111111112
COGENTCO.GRAPHML,2,8,0.5925925925925926
COGENTCO.GRAPHML,2,1,0.08465608465608465
COGENTCO.GRAPHML,2,77,0.20634920634920634
COGENTCO.GRAPHML,2,37,1.0952380952380953
COGENTCO.GRAPHML,3,1,0.11173184357541899
COGENTCO.GRAPHML,3,8,0.0670391061452514
COGENTCO.GRAPHML,3,7,0.11731843575418995
COGENTCO.GRAPHML,3,12,0.0223463687150838
COGENTCO.GRAPHML,3,2,0.01675977653631285
COGENTCO.GRAPHML,3,37,0.0335195530726257
COGENTCO.GRAPHML,3,183,0.2011173184357542
COGENTCO.GRAPHML,3,4,0.0893854748603352
COGENTCO.GRAPHML,3,13,0.03910614525139665
COGENTCO.GRAPHML,3,38,0.11173184357541899
COGENTCO.GRAPHML,3,14,0.8324022346368715
COGENTCO.GRAPHML,3,19,0.18994413407821228
COGENTCO.GRAPHML,3,77,0.11731843575418995
COGENTCO.GRAPHML,3,158,0.10614525139664804
COGENTCO.GRAPHML,3,92,0.10614525139664804
COGENTCO.GRAPHML,3,26,0.08379888268156424
