Graph Name,No of sources of Evidences,Controller,Allocated Switch
ABILENE,2,8,5
ABILENE,2,8,7
ABILENE,2,9,2
ABILENE,2,9,0
ABILENE,2,10,1
ABILENE,2,6,3
ABILENE,2,6,4
ABILENE,3,7,5
ABILENE,3,7,10
ABILENE,3,7,8
ABILENE,3,1,0
ABILENE,3,2,9
ABILENE,3,6,3
ABILENE,3,6,4
ABILENE,4,7,8
ABILENE,4,7,10
ABILENE,4,7,6
ABILENE,4,7,3
ABILENE,4,7,1
ABILENE,4,2,9
ABILENE,4,2,0
ABILENE,4,5,4
ABVT,2,11,17
ABVT,2,11,15
ABVT,2,11,18
ABVT,2,11,22
ABVT,2,11,16
ABVT,2,11,21
ABVT,2,11,13
ABVT,2,1,4
ABVT,2,1,8
ABVT,2,1,6
ABVT,2,1,7
ABVT,2,1,9
ABVT,2,10,2
ABVT,2,10,3
ABVT,2,10,20
ABVT,2,10,19
ABVT,2,10,14
ABVT,2,5,12
ABVT,2,5,0
ABVT,3,1,4
ABVT,3,1,8
ABVT,3,1,15
ABVT,3,1,5
ABVT,3,1,6
ABVT,3,1,22
ABVT,3,1,12
ABVT,3,1,9
ABVT,3,21,18
ABVT,3,21,16
ABVT,3,21,19
ABVT,3,21,17
ABVT,3,21,11
ABVT,3,7,0
ABVT,3,10,2
ABVT,3,10,3
ABVT,3,10,20
ABVT,3,10,13
ABVT,3,10,14
ABVT,4,11,17
ABVT,4,11,15
ABVT,4,11,18
ABVT,4,11,22
ABVT,4,11,16
ABVT,4,11,19
ABVT,4,11,21
ABVT,4,11,13
ABVT,4,11,14
ABVT,4,1,4
ABVT,4,1,8
ABVT,4,1,9
ABVT,4,1,6
ABVT,4,0,7
ABVT,4,2,3
ABVT,4,2,10
ABVT,4,2,20
ABVT,4,5,12
AGIS,2,9,8
AGIS,2,9,24
AGIS,2,9,5
AGIS,2,9,23
AGIS,2,9,12
AGIS,2,19,18
AGIS,2,19,7
AGIS,2,19,22
AGIS,2,19,20
AGIS,2,19,21
AGIS,2,19,17
AGIS,2,6,4
AGIS,2,6,1
AGIS,2,10,13
AGIS,2,10,14
AGIS,2,10,11
AGIS,2,3,16
AGIS,2,3,2
AGIS,2,3,15
AGIS,2,3,0
AGIS,3,5,4
AGIS,3,5,1
AGIS,3,5,6
AGIS,3,7,21
AGIS,3,7,20
AGIS,3,7,19
AGIS,3,2,22
AGIS,3,2,23
AGIS,3,9,8
AGIS,3,9,24
AGIS,3,9,10
AGIS,3,9,12
AGIS,3,9,13
AGIS,3,9,11
AGIS,3,3,16
AGIS,3,3,15
AGIS,3,3,0
AGIS,3,14,17
AGIS,3,14,18
AGIS,4,9,8
AGIS,4,9,24
AGIS,4,9,5
AGIS,4,9,10
AGIS,4,9,12
AGIS,4,9,13
AGIS,4,9,14
AGIS,4,9,11
AGIS,4,19,18
AGIS,4,19,7
AGIS,4,19,22
AGIS,4,19,20
AGIS,4,19,21
AGIS,4,19,17
AGIS,4,3,16
AGIS,4,3,15
AGIS,4,3,0
AGIS,4,6,4
AGIS,4,6,1
AGIS,4,2,23
ARN.GRAPHML,2,22,4
ARN.GRAPHML,2,22,2
ARN.GRAPHML,2,22,23
ARN.GRAPHML,2,22,6
ARN.GRAPHML,2,22,3
ARN.GRAPHML,2,22,7
ARN.GRAPHML,2,22,16
ARN.GRAPHML,2,22,0
ARN.GRAPHML,2,22,21
ARN.GRAPHML,2,22,17
ARN.GRAPHML,2,22,1
ARN.GRAPHML,2,22,11
ARN.GRAPHML,2,8,15
ARN.GRAPHML,2,8,9
ARN.GRAPHML,2,8,5
ARN.GRAPHML,2,8,10
ARN.GRAPHML,2,8,18
ARN.GRAPHML,2,8,12
ARN.GRAPHML,2,8,19
ARN.GRAPHML,2,8,13
ARN.GRAPHML,2,8,14
ARN.GRAPHML,2,24,27
ARN.GRAPHML,2,24,28
ARN.GRAPHML,2,24,25
ARN.GRAPHML,2,24,20
ARN.GRAPHML,2,24,26
ARN.GRAPHML,2,24,29
ARN.GRAPHML,3,8,28
ARN.GRAPHML,3,8,15
ARN.GRAPHML,3,8,24
ARN.GRAPHML,3,8,18
ARN.GRAPHML,3,8,20
ARN.GRAPHML,3,8,12
ARN.GRAPHML,3,8,17
ARN.GRAPHML,3,8,13
ARN.GRAPHML,3,8,14
ARN.GRAPHML,3,8,5
ARN.GRAPHML,3,8,16
ARN.GRAPHML,3,8,21
ARN.GRAPHML,3,8,11
ARN.GRAPHML,3,8,2
ARN.GRAPHML,3,8,23
ARN.GRAPHML,3,8,25
ARN.GRAPHML,3,8,22
ARN.GRAPHML,3,8,0
ARN.GRAPHML,3,8,19
ARN.GRAPHML,3,8,1
ARN.GRAPHML,3,8,9
ARN.GRAPHML,3,8,27
ARN.GRAPHML,3,8,10
ARN.GRAPHML,3,8,3
ARN.GRAPHML,3,8,26
ARN.GRAPHML,3,8,29
ARN.GRAPHML,3,4,7
ARN.GRAPHML,3,4,6
ARN.GRAPHML,4,3,2
ARN.GRAPHML,4,3,23
ARN.GRAPHML,4,3,22
ARN.GRAPHML,4,3,16
ARN.GRAPHML,4,3,0
ARN.GRAPHML,4,3,21
ARN.GRAPHML,4,3,17
ARN.GRAPHML,4,3,1
ARN.GRAPHML,4,3,11
ARN.GRAPHML,4,7,4
ARN.GRAPHML,4,7,6
ARN.GRAPHML,4,29,27
ARN.GRAPHML,4,29,28
ARN.GRAPHML,4,29,24
ARN.GRAPHML,4,29,25
ARN.GRAPHML,4,29,20
ARN.GRAPHML,4,29,26
ARN.GRAPHML,4,18,8
