Graph Name,Rank,No of sources of Evidences,Controller,Allocated Switch
ABILENE,Rank 1,2,8,4
ABILENE,Rank 1,2,8,2
ABILENE,Rank 1,2,8,5
ABILENE,Rank 1,2,8,1
ABILENE,Rank 1,2,8,0
ABILENE,Rank 1,2,8,10
ABILENE,Rank 1,2,8,9
ABILENE,Rank 1,2,8,6
ABILENE,Rank 1,2,8,3
ABILENE,Rank 1,2,8,7
ABILENE,Rank 1,3,7,8
ABILENE,Rank 1,3,7,4
ABILENE,Rank 1,3,7,2
ABILENE,Rank 1,3,7,5
ABILENE,Rank 1,3,7,1
ABILENE,Rank 1,3,7,10
ABILENE,Rank 1,3,7,9
ABILENE,Rank 1,3,7,6
ABILENE,Rank 1,3,7,3
ABILENE,Rank 1,3,7,0
ABILENE,Rank 1,4,7,8
ABILENE,Rank 1,4,7,4
ABILENE,Rank 1,4,7,2
ABILENE,Rank 1,4,7,5
ABILENE,Rank 1,4,7,1
ABILENE,Rank 1,4,7,10
ABILENE,Rank 1,4,7,9
ABILENE,Rank 1,4,7,6
ABILENE,Rank 1,4,7,3
ABILENE,Rank 1,4,7,0
ABILENE,Rank 2,2,8,4
ABILENE,Rank 2,2,8,5
ABILENE,Rank 2,2,8,6
ABILENE,Rank 2,2,8,3
ABILENE,Rank 2,2,8,7
ABILENE,Rank 2,2,9,10
ABILENE,Rank 2,2,9,1
ABILENE,Rank 2,2,9,2
ABILENE,Rank 2,2,9,0
ABILENE,Rank 2,3,7,8
ABILENE,Rank 2,3,7,2
ABILENE,Rank 2,3,7,5
ABILENE,Rank 2,3,7,1
ABILENE,Rank 2,3,7,10
ABILENE,Rank 2,3,7,9
ABILENE,Rank 2,3,7,0
ABILENE,Rank 2,3,1,0
ABILENE,Rank 2,4,7,8
ABILENE,Rank 2,4,7,4
ABILENE,Rank 2,4,7,5
ABILENE,Rank 2,4,7,1
ABILENE,Rank 2,4,7,10
ABILENE,Rank 2,4,7,6
ABILENE,Rank 2,4,7,3
ABILENE,Rank 2,4,2,9
ABILENE,Rank 2,4,2,0
ABILENE,Rank 3,2,8,5
ABILENE,Rank 3,2,8,7
ABILENE,Rank 3,2,9,10
ABILENE,Rank 3,2,9,1
ABILENE,Rank 3,2,9,2
ABILENE,Rank 3,2,9,0
ABILENE,Rank 3,2,10,1
ABILENE,Rank 3,3,7,9
ABILENE,Rank 3,3,7,5
ABILENE,Rank 3,3,7,8
ABILENE,Rank 3,3,7,10
ABILENE,Rank 3,3,1,2
ABILENE,Rank 3,3,1,0
ABILENE,Rank 3,3,2,9
ABILENE,Rank 3,4,7,8
ABILENE,Rank 3,4,7,1
ABILENE,Rank 3,4,7,10
ABILENE,Rank 3,4,7,6
ABILENE,Rank 3,4,7,3
ABILENE,Rank 3,4,2,9
ABILENE,Rank 3,4,2,0
ABILENE,Rank 3,4,5,4
ABILENE,Rank 4,2,8,5
ABILENE,Rank 4,2,8,7
ABILENE,Rank 4,2,9,2
ABILENE,Rank 4,2,9,0
ABILENE,Rank 4,2,10,1
ABILENE,Rank 4,2,6,4
ABILENE,Rank 4,2,6,3
ABILENE,Rank 4,3,7,5
ABILENE,Rank 4,3,7,8
ABILENE,Rank 4,3,7,10
ABILENE,Rank 4,3,1,0
ABILENE,Rank 4,3,2,9
ABILENE,Rank 4,3,6,4
ABILENE,Rank 4,3,6,3
ABILENE,Rank 4,4,7,8
ABILENE,Rank 4,4,7,1
ABILENE,Rank 4,4,7,10
ABILENE,Rank 4,4,7,6
ABILENE,Rank 4,4,7,3
ABILENE,Rank 4,4,2,9
ABILENE,Rank 4,4,2,0
ABILENE,Rank 4,4,5,4
ABILENE,Rank 5,2,8,5
ABILENE,Rank 5,2,8,7
ABILENE,Rank 5,2,9,2
ABILENE,Rank 5,2,9,0
ABILENE,Rank 5,2,10,1
ABILENE,Rank 5,2,6,4
ABILENE,Rank 5,2,6,3
ABILENE,Rank 5,3,7,5
ABILENE,Rank 5,3,7,8
ABILENE,Rank 5,3,7,10
ABILENE,Rank 5,3,1,0
ABILENE,Rank 5,3,2,9
ABILENE,Rank 5,3,6,4
ABILENE,Rank 5,3,6,3
ABILENE,Rank 5,4,7,8
ABILENE,Rank 5,4,7,1
ABILENE,Rank 5,4,7,10
ABILENE,Rank 5,4,7,6
ABILENE,Rank 5,4,7,3
ABILENE,Rank 5,4,2,9
ABILENE,Rank 5,4,2,0
ABILENE,Rank 5,4,5,4
ABVT,Rank 1,2,11,4
ABVT,Rank 1,2,11,9
ABVT,Rank 1,2,11,15
ABVT,Rank 1,2,11,19
ABVT,Rank 1,2,11,18
ABVT,Rank 1,2,11,17
ABVT,Rank 1,2,11,10
ABVT,Rank 1,2,11,7
ABVT,Rank 1,2,11,21
ABVT,Rank 1,2,11,2
ABVT,Rank 1,2,11,5
ABVT,Rank 1,2,11,14
ABVT,Rank 1,2,11,6
ABVT,Rank 1,2,11,16
ABVT,Rank 1,2,11,8
ABVT,Rank 1,2,11,13
ABVT,Rank 1,2,11,1
ABVT,Rank 1,2,11,12
ABVT,Rank 1,2,11,20
ABVT,Rank 1,2,11,22
ABVT,Rank 1,2,11,3
ABVT,Rank 1,2,11,0
ABVT,Rank 1,3,1,4
ABVT,Rank 1,3,1,9
ABVT,Rank 1,3,1,15
ABVT,Rank 1,3,1,19
ABVT,Rank 1,3,1,18
ABVT,Rank 1,3,1,17
ABVT,Rank 1,3,1,10
ABVT,Rank 1,3,1,7
ABVT,Rank 1,3,1,21
ABVT,Rank 1,3,1,2
ABVT,Rank 1,3,1,5
ABVT,Rank 1,3,1,14
ABVT,Rank 1,3,1,11
ABVT,Rank 1,3,1,6
ABVT,Rank 1,3,1,16
ABVT,Rank 1,3,1,8
ABVT,Rank 1,3,1,13
ABVT,Rank 1,3,1,12
ABVT,Rank 1,3,1,20
ABVT,Rank 1,3,1,22
ABVT,Rank 1,3,1,3
ABVT,Rank 1,3,1,0
ABVT,Rank 1,4,11,4
ABVT,Rank 1,4,11,9
ABVT,Rank 1,4,11,15
ABVT,Rank 1,4,11,19
ABVT,Rank 1,4,11,18
ABVT,Rank 1,4,11,17
ABVT,Rank 1,4,11,10
ABVT,Rank 1,4,11,7
ABVT,Rank 1,4,11,21
ABVT,Rank 1,4,11,2
ABVT,Rank 1,4,11,5
ABVT,Rank 1,4,11,14
ABVT,Rank 1,4,11,6
ABVT,Rank 1,4,11,16
ABVT,Rank 1,4,11,8
ABVT,Rank 1,4,11,13
ABVT,Rank 1,4,11,1
ABVT,Rank 1,4,11,12
ABVT,Rank 1,4,11,20
ABVT,Rank 1,4,11,22
ABVT,Rank 1,4,11,3
ABVT,Rank 1,4,11,0
ABVT,Rank 2,2,11,19
ABVT,Rank 2,2,11,2
ABVT,Rank 2,2,11,13
ABVT,Rank 2,2,11,18
ABVT,Rank 2,2,11,14
ABVT,Rank 2,2,11,20
ABVT,Rank 2,2,11,22
ABVT,Rank 2,2,11,17
ABVT,Rank 2,2,11,10
ABVT,Rank 2,2,11,15
ABVT,Rank 2,2,11,3
ABVT,Rank 2,2,11,16
ABVT,Rank 2,2,11,21
ABVT,Rank 2,2,1,8
ABVT,Rank 2,2,1,4
ABVT,Rank 2,2,1,5
ABVT,Rank 2,2,1,12
ABVT,Rank 2,2,1,0
ABVT,Rank 2,2,1,9
ABVT,Rank 2,2,1,6
ABVT,Rank 2,2,1,7
ABVT,Rank 2,3,1,7
ABVT,Rank 2,3,1,8
ABVT,Rank 2,3,1,4
ABVT,Rank 2,3,1,2
ABVT,Rank 2,3,1,5
ABVT,Rank 2,3,1,12
ABVT,Rank 2,3,1,22
ABVT,Rank 2,3,1,9
ABVT,Rank 2,3,1,15
ABVT,Rank 2,3,1,6
ABVT,Rank 2,3,1,3
ABVT,Rank 2,3,1,0
ABVT,Rank 2,3,21,19
ABVT,Rank 2,3,21,13
ABVT,Rank 2,3,21,18
ABVT,Rank 2,3,21,14
ABVT,Rank 2,3,21,20
ABVT,Rank 2,3,21,11
ABVT,Rank 2,3,21,17
ABVT,Rank 2,3,21,10
ABVT,Rank 2,3,21,16
ABVT,Rank 2,4,11,19
ABVT,Rank 2,4,11,2
ABVT,Rank 2,4,11,13
ABVT,Rank 2,4,11,18
ABVT,Rank 2,4,11,14
ABVT,Rank 2,4,11,20
ABVT,Rank 2,4,11,22
ABVT,Rank 2,4,11,17
ABVT,Rank 2,4,11,10
ABVT,Rank 2,4,11,15
ABVT,Rank 2,4,11,3
ABVT,Rank 2,4,11,16
ABVT,Rank 2,4,11,21
ABVT,Rank 2,4,1,8
ABVT,Rank 2,4,1,4
ABVT,Rank 2,4,1,5
ABVT,Rank 2,4,1,12
ABVT,Rank 2,4,1,0
ABVT,Rank 2,4,1,9
ABVT,Rank 2,4,1,6
ABVT,Rank 2,4,1,7
ABVT,Rank 3,2,11,13
ABVT,Rank 3,2,11,18
ABVT,Rank 3,2,11,22
ABVT,Rank 3,2,11,17
ABVT,Rank 3,2,11,15
ABVT,Rank 3,2,11,16
ABVT,Rank 3,2,11,21
ABVT,Rank 3,2,1,8
ABVT,Rank 3,2,1,4
ABVT,Rank 3,2,1,5
ABVT,Rank 3,2,1,12
ABVT,Rank 3,2,1,0
ABVT,Rank 3,2,1,9
ABVT,Rank 3,2,1,6
ABVT,Rank 3,2,1,7
ABVT,Rank 3,2,10,19
ABVT,Rank 3,2,10,2
ABVT,Rank 3,2,10,14
ABVT,Rank 3,2,10,20
ABVT,Rank 3,2,10,3
ABVT,Rank 3,3,1,8
ABVT,Rank 3,3,1,4
ABVT,Rank 3,3,1,5
ABVT,Rank 3,3,1,12
ABVT,Rank 3,3,1,0
ABVT,Rank 3,3,1,22
ABVT,Rank 3,3,1,9
ABVT,Rank 3,3,1,15
ABVT,Rank 3,3,1,6
ABVT,Rank 3,3,1,7
ABVT,Rank 3,3,21,19
ABVT,Rank 3,3,21,18
ABVT,Rank 3,3,21,11
ABVT,Rank 3,3,21,17
ABVT,Rank 3,3,21,16
ABVT,Rank 3,3,7,0
ABVT,Rank 3,4,11,19
ABVT,Rank 3,4,11,13
ABVT,Rank 3,4,11,18
ABVT,Rank 3,4,11,14
ABVT,Rank 3,4,11,22
ABVT,Rank 3,4,11,17
ABVT,Rank 3,4,11,15
ABVT,Rank 3,4,11,16
ABVT,Rank 3,4,11,21
ABVT,Rank 3,4,1,8
ABVT,Rank 3,4,1,4
ABVT,Rank 3,4,1,5
ABVT,Rank 3,4,1,12
ABVT,Rank 3,4,1,9
ABVT,Rank 3,4,1,6
ABVT,Rank 3,4,1,7
ABVT,Rank 3,4,0,7
ABVT,Rank 4,2,11,13
ABVT,Rank 4,2,11,18
ABVT,Rank 4,2,11,22
ABVT,Rank 4,2,11,17
ABVT,Rank 4,2,11,15
ABVT,Rank 4,2,11,16
ABVT,Rank 4,2,11,21
ABVT,Rank 4,2,1,8
ABVT,Rank 4,2,1,4
ABVT,Rank 4,2,1,9
ABVT,Rank 4,2,1,6
ABVT,Rank 4,2,1,7
ABVT,Rank 4,2,10,19
ABVT,Rank 4,2,10,2
ABVT,Rank 4,2,10,14
