Graph Name,No of sources of Evidences,Controller,Sorted-Case Controller to Ranks
ABILENE,2,9,0.42857142857142855
ABILENE,2,8,0.2857142857142857
ABILENE,2,6,0.2857142857142857
ABILENE,3,7,0.5714285714285714
ABILENE,3,6,0.2857142857142857
ABILENE,3,1,0.14285714285714285
ABILENE,4,7,0.875
ABILENE,4,2,0.25
ABILENE,4,5,0.125
ABVT,2,11,38.571157894736835
ABVT,2,1,5.419842105263157
ABVT,2,10,2.8623684210526315
ABVT,3,1,12.319105263157896
ABVT,3,21,11.471736842105264
ABVT,3,10,2.081315789473684
ABVT,4,11,51.51011111111111
ABVT,4,1,5.598499999999999
ABVT,4,2,2.1736666666666666
AGIS,2,19,0.4
AGIS,2,9,0.3
AGIS,2,3,0.25
AGIS,3,9,0.42105263157894735
AGIS,3,5,0.2631578947368421
AGIS,3,7,0.2631578947368421
AGIS,4,9,0.55
AGIS,4,19,0.4
AGIS,4,3,0.2
ARN.GRAPHML,2,22,0.5185185185185185
ARN.GRAPHML,2,8,0.3333333333333333
ARN.GRAPHML,2,24,0.2222222222222222
ARN.GRAPHML,3,8,1.7142857142857142
ARN.GRAPHML,3,4,0.10714285714285714
ARN.GRAPHML,4,7,0.7777777777777778
ARN.GRAPHML,4,18,0.6296296296296297
ARN.GRAPHML,4,29,0.4074074074074074
BELLCANADA,2,16,0.32432432432432434
BELLCANADA,2,31,0.21621621621621623
BELLCANADA,2,2,0.1891891891891892
BELLCANADA,3,16,0.3076923076923077
BELLCANADA,3,2,0.2564102564102564
BELLCANADA,3,12,0.2564102564102564
BELLCANADA,4,2,0.3157894736842105
BELLCANADA,4,12,0.2631578947368421
BELLCANADA,4,33,0.21052631578947367
BELLSOUTH.GRAPHML,2,35,1.3541666666666667
BELLSOUTH.GRAPHML,2,49,0.20833333333333334
BELLSOUTH.GRAPHML,2,31,0.14583333333333334
BELLSOUTH.GRAPHML,3,31,1.1777777777777778
BELLSOUTH.GRAPHML,3,5,0.15555555555555556
BELLSOUTH.GRAPHML,3,23,0.1111111111111111
BELLSOUTH.GRAPHML,4,46,0.3902439024390244
BELLSOUTH.GRAPHML,4,31,0.2926829268292683
BELLSOUTH.GRAPHML,4,48,0.1951219512195122
BICS.GRAPHML,2,1,0.6538461538461539
BICS.GRAPHML,2,19,0.5384615384615384
BICS.GRAPHML,2,13,0.19230769230769232
BICS.GRAPHML,3,13,0.38461538461538464
BICS.GRAPHML,3,5,0.38461538461538464
BICS.GRAPHML,3,20,0.23076923076923078
BICS.GRAPHML,4,14,0.3333333333333333
BICS.GRAPHML,4,5,0.25
BICS.GRAPHML,4,19,0.125
CERNET.GRAPHML,2,21,0.5135135135135135
CERNET.GRAPHML,2,24,0.5135135135135135
