Graph Name,No of sources of Evidences,Controller,Worst-Case Controller to Controller
ABILENE,2,8,2.0
ABILENE,2,9,3.0
ABILENE,2,10,2.0
ABILENE,2,6,3.0
ABILENE,3,7,3.0
ABILENE,3,1,3.0
ABILENE,3,2,4.0
ABILENE,3,6,4.0
ABILENE,4,7,3.0
ABILENE,4,2,3.0
ABILENE,4,5,3.0
ABVT,2,11,133.00400000000002
ABVT,2,1,88.182
ABVT,2,10,88.564
ABVT,2,5,133.00400000000002
ABVT,3,1,52.742000000000004
ABVT,3,21,52.742000000000004
ABVT,3,7,51.078
ABVT,3,10,34.528999999999996
ABVT,4,11,133.00400000000002
ABVT,4,1,88.182
ABVT,4,0,90.846
ABVT,4,2,97.637
ABVT,4,5,133.00400000000002
AGIS,2,9,3.0
AGIS,2,19,3.0
AGIS,2,6,3.0
AGIS,2,10,4.0
AGIS,2,3,4.0
AGIS,3,5,3.0
AGIS,3,7,3.0
AGIS,3,2,5.0
AGIS,3,9,3.0
AGIS,3,3,5.0
AGIS,3,14,5.0
AGIS,4,9,3.0
AGIS,4,3,3.0
AGIS,4,19,4.0
AGIS,4,6,2.0
AGIS,4,2,4.0
ARN.GRAPHML,2,22,1.0
ARN.GRAPHML,2,8,2.0
ARN.GRAPHML,2,24,2.0
ARN.GRAPHML,3,8,3.0
ARN.GRAPHML,3,4,3.0
ARN.GRAPHML,4,3,3.0
ARN.GRAPHML,4,7,3.0
ARN.GRAPHML,4,29,4.0
ARN.GRAPHML,4,18,4.0
BELLCANADA,2,33,7.0
BELLCANADA,2,2,8.0
BELLCANADA,2,4,8.0
BELLCANADA,2,27,8.0
BELLCANADA,2,16,7.0
BELLCANADA,2,31,6.0
BELLCANADA,2,8,8.0
BELLCANADA,2,14,6.0
BELLCANADA,2,21,8.0
BELLCANADA,2,29,6.0
BELLCANADA,2,45,6.0
BELLCANADA,3,1,9.0
BELLCANADA,3,2,8.0
BELLCANADA,3,8,8.0
BELLCANADA,3,12,7.0
BELLCANADA,3,16,8.0
BELLCANADA,3,33,7.0
BELLCANADA,3,27,8.0
BELLCANADA,3,21,9.0
BELLCANADA,3,13,7.0
BELLCANADA,4,2,8.0
BELLCANADA,4,1,9.0
BELLCANADA,4,8,8.0
BELLCANADA,4,12,7.0
BELLCANADA,4,33,7.0
BELLCANADA,4,16,8.0
BELLCANADA,4,21,9.0
BELLCANADA,4,27,8.0
BELLCANADA,4,13,7.0
BELLCANADA,4,17,9.0
BELLSOUTH.GRAPHML,2,35,1.0
BELLSOUTH.GRAPHML,2,31,1.0
BELLSOUTH.GRAPHML,2,49,1.0
BELLSOUTH.GRAPHML,3,5,5.0
BELLSOUTH.GRAPHML,3,31,4.0
BELLSOUTH.GRAPHML,3,15,4.0
BELLSOUTH.GRAPHML,3,1,5.0
BELLSOUTH.GRAPHML,3,23,5.0
BELLSOUTH.GRAPHML,3,45,5.0
BELLSOUTH.GRAPHML,4,46,5.0
BELLSOUTH.GRAPHML,4,50,4.0
BELLSOUTH.GRAPHML,4,33,5.0
BELLSOUTH.GRAPHML,4,42,5.0
BELLSOUTH.GRAPHML,4,28,5.0
BELLSOUTH.GRAPHML,4,48,3.0
BELLSOUTH.GRAPHML,4,21,5.0
BELLSOUTH.GRAPHML,4,26,4.0
BELLSOUTH.GRAPHML,4,49,3.0
BELLSOUTH.GRAPHML,4,31,3.0
BICS.GRAPHML,2,19,2.0
BICS.GRAPHML,2,14,2.0
BICS.GRAPHML,2,13,3.0
BICS.GRAPHML,2,22,3.0
BICS.GRAPHML,2,15,3.0
BICS.GRAPHML,2,21,3.0
BICS.GRAPHML,2,1,3.0
BICS.GRAPHML,3,13,4.0
BICS.GRAPHML,3,12,5.0
BICS.GRAPHML,3,24,4.0
BICS.GRAPHML,3,20,4.0
BICS.GRAPHML,3,5,6.0
BICS.GRAPHML,3,16,4.0
BICS.GRAPHML,3,28,6.0
BICS.GRAPHML,4,14,4.0
BICS.GRAPHML,4,13,4.0
BICS.GRAPHML,4,2,3.0
BICS.GRAPHML,4,19,3.0
BICS.GRAPHML,4,15,5.0
BICS.GRAPHML,4,22,5.0
BICS.GRAPHML,4,5,5.0
BICS.GRAPHML,4,16,4.0
BICS.GRAPHML,4,8,5.0
CERNET.GRAPHML,2,21,1.0
CERNET.GRAPHML,2,24,2.0
CERNET.GRAPHML,2,28,2.0
CERNET.GRAPHML,2,37,2.0
CERNET.GRAPHML,3,9,5.0
CERNET.GRAPHML,3,20,4.0
CERNET.GRAPHML,3,26,5.0
CERNET.GRAPHML,3,38,5.0
CERNET.GRAPHML,3,14,5.0
CERNET.GRAPHML,3,12,4.0
CERNET.GRAPHML,3,39,4.0
CERNET.GRAPHML,3,1,5.0
CERNET.GRAPHML,4,38,5.0
CERNET.GRAPHML,4,39,4.0
CERNET.GRAPHML,4,16,4.0
CERNET.GRAPHML,4,30,5.0
CERNET.GRAPHML,4,26,5.0
CERNET.GRAPHML,4,27,4.0
CERNET.GRAPHML,4,20,4.0
CERNET.GRAPHML,4,32,4.0
CERNET.GRAPHML,4,25,4.0
CESNET200706.GRAPHML,2,40,1.0
CESNET200706.GRAPHML,2,7,2.0
CESNET200706.GRAPHML,2,43,2.0
CESNET200706.GRAPHML,2,0,2.0
CESNET200706.GRAPHML,3,28,5.0
CESNET200706.GRAPHML,3,15,4.0
CESNET200706.GRAPHML,3,18,5.0
CESNET200706.GRAPHML,3,14,5.0
CESNET200706.GRAPHML,3,20,5.0
CESNET200706.GRAPHML,3,22,5.0
CESNET200706.GRAPHML,3,36,5.0
CESNET200706.GRAPHML,3,43,3.0
CESNET200706.GRAPHML,3,7,3.0
CESNET200706.GRAPHML,4,3,3.0
CESNET200706.GRAPHML,4,6,4.0
CESNET200706.GRAPHML,4,36,4.0
CESNET200706.GRAPHML,4,20,4.0
CESNET200706.GRAPHML,4,43,3.0
CHINANET.GRAPHML,2,39,1.0
CHINANET.GRAPHML,2,38,2.0
CHINANET.GRAPHML,2,8,1.0
CHINANET.GRAPHML,2,28,2.0
CHINANET.GRAPHML,2,23,2.0
CHINANET.GRAPHML,2,27,2.0
CHINANET.GRAPHML,2,25,2.0
CHINANET.GRAPHML,3,5,4.0
CHINANET.GRAPHML,3,30,4.0
CHINANET.GRAPHML,3,20,4.0
CHINANET.GRAPHML,3,41,3.0
CHINANET.GRAPHML,3,2,4.0
CHINANET.GRAPHML,3,3,4.0
CHINANET.GRAPHML,3,28,3.0
CHINANET.GRAPHML,3,8,3.0
CHINANET.GRAPHML,3,18,3.0
CHINANET.GRAPHML,4,8,2.0
CHINANET.GRAPHML,4,18,2.0
CHINANET.GRAPHML,4,25,2.0
