Graph Name,No of sources of Evidences,Controller,Worst-Case Controller to Switch
ABILENE,2,8,1.0
ABILENE,2,9,2.0
ABILENE,2,10,1.0
ABILENE,2,6,1.0
ABILENE,3,7,2.0
ABILENE,3,1,1.0
ABILENE,3,2,1.0
ABILENE,3,6,1.0
ABILENE,4,7,2.0
ABILENE,4,2,1.0
ABILENE,4,5,1.0
ABVT,2,11,169.716
ABVT,2,1,50.099999999999994
ABVT,2,10,17.759
ABVT,2,5,47.464
ABVT,3,1,50.099999999999994
ABVT,3,21,90.789
ABVT,3,7,0.46
ABVT,3,10,13.138
ABVT,4,11,169.716
ABVT,4,1,50.099999999999994
ABVT,4,0,0.46
ABVT,4,2,22.211
ABVT,4,5,2.766
AGIS,2,9,2.0
AGIS,2,19,2.0
AGIS,2,6,1.0
AGIS,2,10,1.0
AGIS,2,3,2.0
AGIS,3,5,2.0
AGIS,3,7,2.0
AGIS,3,2,2.0
AGIS,3,9,2.0
AGIS,3,3,2.0
AGIS,3,14,2.0
AGIS,4,9,2.0
AGIS,4,3,2.0
AGIS,4,19,2.0
AGIS,4,6,1.0
AGIS,4,2,1.0
ARN.GRAPHML,2,22,2.0
ARN.GRAPHML,2,8,1.0
ARN.GRAPHML,2,24,1.0
ARN.GRAPHML,3,8,3.0
ARN.GRAPHML,3,4,2.0
ARN.GRAPHML,4,7,2.0
ARN.GRAPHML,4,29,2.0
ARN.GRAPHML,4,18,2.0
BELLCANADA,2,33,2.0
BELLCANADA,2,2,2.0
BELLCANADA,2,4,1.0
BELLCANADA,2,27,1.0
BELLCANADA,2,16,4.0
BELLCANADA,2,31,3.0
BELLCANADA,2,8,1.0
BELLCANADA,2,14,1.0
BELLCANADA,2,21,2.0
BELLCANADA,2,29,2.0
BELLCANADA,2,45,1.0
BELLCANADA,3,1,2.0
BELLCANADA,3,2,3.0
BELLCANADA,3,8,1.0
BELLCANADA,3,12,3.0
BELLCANADA,3,16,4.0
BELLCANADA,3,33,2.0
BELLCANADA,3,27,2.0
BELLCANADA,3,21,2.0
BELLCANADA,3,13,2.0
BELLCANADA,4,2,3.0
BELLCANADA,4,1,1.0
BELLCANADA,4,8,1.0
BELLCANADA,4,12,3.0
BELLCANADA,4,33,2.0
BELLCANADA,4,16,1.0
BELLCANADA,4,21,2.0
BELLCANADA,4,27,2.0
BELLCANADA,4,13,2.0
BELLCANADA,4,17,3.0
BELLSOUTH.GRAPHML,2,35,3.0
BELLSOUTH.GRAPHML,2,31,1.0
BELLSOUTH.GRAPHML,2,49,3.0
BELLSOUTH.GRAPHML,3,5,2.0
BELLSOUTH.GRAPHML,3,31,4.0
BELLSOUTH.GRAPHML,3,15,1.0
BELLSOUTH.GRAPHML,3,1,1.0
BELLSOUTH.GRAPHML,3,23,2.0
BELLSOUTH.GRAPHML,3,45,1.0
BELLSOUTH.GRAPHML,4,46,3.0
BELLSOUTH.GRAPHML,4,50,1.0
BELLSOUTH.GRAPHML,4,33,1.0
BELLSOUTH.GRAPHML,4,42,1.0
BELLSOUTH.GRAPHML,4,28,2.0
BELLSOUTH.GRAPHML,4,48,3.0
BELLSOUTH.GRAPHML,4,21,2.0
BELLSOUTH.GRAPHML,4,26,1.0
BELLSOUTH.GRAPHML,4,49,2.0
