Node,Vancouver,Seatle ,Missoula,Portland,Salt-Lake-City,Sunnyvale,Los-Angeles,Denver,Albuquerque,Tucson,El-Paso,Houston,Dallas,Kansas-City,Minneapolis,Chicago,Indianapolis,Louisville,Nashville,Memphis,Jacksonville,Balton-Rouge,Buffalo,Cleverland,Pittsburgh,Ashburn ,Washington,Raleigh,Atlanta,Miami,Boston,Jackson,Philadelpia,New York
vancouver,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seatle ,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missoula,,1,0,0,0,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
Portland,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salt-Lake-City ,,1,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunnyvale,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Los-Angeles,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Denver,,,,,1,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,
Albuquerque,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,
Tucson,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,
El-Paso ,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,
Houston,,,,,,,,,,,1,,1,,,,,,,,,1,,,,,,,,,,1,,
Dallas,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,
Kansas-City,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,
Minneapolis,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Chicago,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,
Indianapolis,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,
Louisville,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,
Nashville,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,
Memphis,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,
Jacksonville,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,1,,,,
Balton-Rouge,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,
Buffalo,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,
Cleverland,,,,,,,,,,,,,,,,1,,,,,,,1,,1,,,,,,,,,
Pittsburgh,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,
Ashburn,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,,,,,,,
Washington ,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,1,
Raleigh,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,1,,,,,
Atlanta,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,1,,,,,,
Miami ,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Boston ,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1
Jackson,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,
Philadelphia,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
New York ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
