Node,Latitude(degrees) ,Longitude (degrees),id_
vancouver,49.28273,-123.120735,1
Seatle ,47.606209,-122.332069,2
Missoula,46.872128,-113.994034,3
Portland,45.51223,-122.658722,4
Salt-Lake-City ,40.75848,-111.88814,5
Sunnyvale,37.368832,-122.036346,6
Los-Angeles,34.052235,-118.243683,7
Denver,39.739235,-104.99025,8
Albuquerque,35.084385,-106.650421,9
Tucson,32.222607,-110.974709,10
El-Paso ,31.76011,-106.49229,11
Houston,29.760427,-95.369804,12
Dallas,32.776665,-96.796989,13
Kansas-City,39.09979,-94.57856,14
Minneapolis,44.977753,-93.265015,15
Chicago,41.878113,-87.629799,16
Indianapolis,39.768402,-86.158066,17
Louisville,38.252666,-85.758453,18
Nashville,36.162663,-86.781601,19
Memphis,35.149532,-90.048981,20
Jacksonville,30.332184,-81.655647,21
Balton-Rouge,30.44332,-91.18749,22
Buffalo,42.886448,-78.878372,23
Cleverland,51.20733,0.41896,24
Pittsburgh,40.440624,-79.995888,25
Ashburn,39.043758,-77.487442,26
Washington ,47.751076,-120.740135,27
Raleigh,35.779591,-78.638176,28
Atlanta,33.748997,-84.387985,29
Miami ,25.761681,-80.191788,30
Boston ,42.360081,-71.058884,31
Jackson,37.223423,-95.706322,32
Philadelphia,39.952583,-75.165222,33
New York ,40.712776,-74.005974,34
